id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
267261,To The Stars - Dragonheart/Soundtrack Version,['Randy Edelman'],spotify:track:5LeCbkjJuhtqQhwXziPgUn,52,album,True,1996-01-01,['spotify:artist:3shMd6Vll0mOcviQ3hrk8m'],['spotify:playlist:37i9dQZF1DWXahxq4Q8el6']
104831,What For,['James'],spotify:track:0qi4ZY4EZ2pQqCWNIC7NC0,16,album,True,1988,['spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh'],"['spotify:playlist:637Qp83cfi3zlZBtXpw5iv', 'spotify:playlist:1QacPhSPi4arqj5coOEB2i']"
196469,Way Maker,['HungryGen Worship'],spotify:track:07HsZQuaKvXVEjPSSkg6Mv,29,album,True,2017-05-12,['spotify:artist:4XFBmphGA0K39ZcuzqMLs9'],['spotify:playlist:7KDvSaaWYPEl7pAJZSUxn9']
80130,Three Serpents,['Cha Se-Eun'],spotify:track:0z8rntXOLFNZdfzWXYZG8m,47,single,True,2020-07-24,['spotify:artist:1xwzuOCjXewMhixY3UqCR8'],['spotify:playlist:4mfobAcyw052F12K4vwtoW']
73742,Canción de Julia,['Soulgarden'],spotify:track:4Y743XvHbPDxhVdC33gguX,33,single,True,2023-01-20,['spotify:artist:4D1RsYNSjyxvaKtj5qIdps'],"['spotify:playlist:2EKJ3QYfX9oW8fvPlHCsAT', 'spotify:playlist:0gaPfnx5qdCdKez5aF8pL8']"
23288,Thangs,['Steve Lacy'],spotify:track:5LdpnJrXxQroGD1k5aJGWp,50,single,True,2017-02-24,['spotify:artist:57vWImR43h4CaDao012Ofp'],['spotify:playlist:6ohijC6HksXWCgrv6mYBnI']
159084,This Time,['DJ DB'],spotify:track:2rGGjWSc7iJhUBSTrCAISb,19,album,True,2001-07-31,['spotify:artist:0XmfAw7YCvMBJkYgxFbzaq'],['spotify:playlist:5N9H61fm9LBXuyNrnYpaeT']
83727,Four Minutes,['Roger Waters'],spotify:track:3g5Jq4l99HTvzr7uWyfJjd,27,album,True,1987-06-16,['spotify:artist:40DqL6Tv84cKT2pH2NMs9r'],['spotify:playlist:1ptxIp0zXEyO7RIhw5wM8A']
244266,Summertime Blues,['Grupo Marca Registrada'],spotify:track:5YfSIDiYVBXBacTLlbnPKc,0,compilation,True,2009,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],"['spotify:playlist:2AguYoBHvhW8IEjbzUaJRh', 'spotify:playlist:5k767i6buIfL5GmaoMeVUs', 'spotify:playlist:0nNWvCmhb9XqldYDcqZKIx', 'spotify:playlist:4d2lUH1lEB9o6AaJDJh2Xy', 'spotify:playlist:0UxCd6M12rPcELyBeEYXA7', 'spotify:playlist:0dUblHWeMAY4euK3cDX3st', 'spotify:playlist:0lBn4Gx0K5kMyuJp1URWBx']"
63327,Whine Up (feat. Elephant Man) - English Version,['Kat Deluna'],spotify:track:7L1zJMkc9Ho7Ox0uSFC9TL,41,single,True,2007-05-01,['spotify:artist:0bOlhT8OcoC1lCpN69NcFP'],"['spotify:playlist:37i9dQZF1DX6u62UVrRdZV', 'spotify:playlist:26UV5WJlX45OISoN4gg7b3', 'spotify:playlist:3HQhGIQl2cVocS3i0CIK4J', 'spotify:playlist:2vkVAT0srHOlJNAglVAyBu']"
243754,Bad,['Michael Jackson'],spotify:track:3IPC7h4jf2divBfrWeTZxI,0,compilation,True,2005-07-19,['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],['spotify:playlist:0aSvbpDVaEBTv9dPiXrndk']
173811,Navigator,"['Dirtyphonics', 'Sullivan King']",spotify:track:4sPHVz40ztEr5VoTVFQ1ps,36,single,True,2017-11-03,"['spotify:artist:4zymhxzJ0UJc74tMHGyoWs', 'spotify:artist:1CXuuw8HJhyN80HlNzvL1e']",['spotify:playlist:2ltPxQN8SkPqG1PoTQI93D']
64232,The Angels Fell,"['Dillinja', 'Capone', 'Cybotron']",spotify:track:6bFuxH5rQIKQSr26epilGD,0,album,True,2004-07-12,"['spotify:artist:5CDTMeaU6dnv24n6e4uAtk', 'spotify:artist:3MG5skX8kY7y3ddc9sCjzH', 'spotify:artist:5Mr6zawZ90BzjY14EROmSm']",['spotify:playlist:3h1LinnMK8QFLcP9tGHloK']
118896,Real Far Away,['Hubert Sumlin & Billy Branch'],spotify:track:3hJXPDRePqSnXwMikZSW0N,0,album,True,1998,['spotify:artist:3IDdPyggLTZMSoukakwPOa'],['spotify:playlist:0DKarZxT9FodHMeJJIcOzv']
262005,"Go Easy, Kid",['Monica Martin'],spotify:track:50hN4KDpQILZpTejaifHZK,51,single,True,2021-09-29,['spotify:artist:2Oq3sgFa2HSvRY0vL6bDxN'],['spotify:playlist:37i9dQZF1DWTyjRnMgESue']
89352,My Life Be Like(Grits),['L. Starz'],spotify:track:1NHmcD7dVRn3RAB98wcgIa,0,album,True,2018-10-15,['spotify:artist:3f9BgHCDVF4okvslyOIS2d'],"['spotify:playlist:5u2mVGPMbq21p9z3VVQU4r', 'spotify:playlist:2h4wEwQR3Jox8zBohnG2Y4']"
173843,Die Zeit heilt alle Wunden,['Tanzwut'],spotify:track:6A37o5BX6yqN2cDt5F4mwj,17,album,True,2015-02-13,['spotify:artist:1lnAE48Ht3fnUDrcnx2nTM'],['spotify:playlist:6jOJQfjV34kbtcvuW04AmW']
235752,Ghostly Dome,['Aqualypt'],spotify:track:5XoPvzUlpMqUwbd7vzFPWp,32,single,True,2022-10-10,['spotify:artist:7nTsvLMZz3GLEWO8mUoxlI'],['spotify:playlist:37i9dQZF1DX3SEFZskKvKB']
272166,Maldita Traición,['Conjunto Rio Grande'],spotify:track:7vMq401CBaVWEXMVZhM3vL,34,album,True,2019-07-05,['spotify:artist:2Ro0uSqcQMG6L3ZRyoDEsG'],['spotify:playlist:37i9dQZF1DZ06evO1Eg32Q']
21744,Hairat,['Vishal-Shekhar'],spotify:track:6512hyAQxOng8v4R71IV47,55,album,True,2010-08-19,['spotify:artist:6Mv8GjQa7LKUGCAqa9qqdb'],['spotify:playlist:6UBxM0pZH3fmgmK19IEfgZ']
